year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2024,1,"น้ำพันซ์ทำจากน้ำส้ม, น้ำมะนาว, และน้ำเชื่อมผสมกันในอัตราส่วน 8:7:3 ถ้าต้องการผลิตน้ำพันซ์จำนวน 90 ลิตร จะต้องใช้น้ำมะนาวกี่ลิตร","(1) 7
(2) 15
(3) 35
(4) 40
(5) 42
",(3) 35,True,True,True,Quant
2024,2,สมปองซื้อส้มสำยน้ำผึ้งและส้มเขียวหวานมาผสมกัน โดยซื้อส้มสำยน้ำผึ้งและส้มเขียวหวานมาราคา กิโลกรัมละ 27.50 บาท และ 20 บาท ตามลำดับ ถ้าเขาขายส้มไปในราคากิโลกรัมละ 25 บาท เมื่อขายหมดปริมาณส้มสำยน้ำผึ้งต่อส้มเขียวหวานที่ซื้อมาเท่ากับ เท่าไร?,"(1) 1:2
(2) 2:1
(3) 2:3
(4) 3:2
(5) 1:1
",(2) 2:1,True,True,True,Quant
2024,3,"นาย A ซื้อสร้อยมูลค่า 2,000 บาท ต่อมูลค่าต่อให้นาย B โดยค่าทุน 20% และต่อมูลค่านาย B ขายสร้อยต่อให้นาย C โดยค่าทุน 10% จงหาว่านาย C ซื้อสร้อยราคาต่ำกว่านาย A กี่เปอร์เซ็นต์","(1) 15
(2) 18
(3) 25
(4) 28
(5) 30
",(4) 28,True,True,True,Quant
2024,4,"สมพรต้องการซื้อเครื่องสำอางราคา 2,400 บาท ต่อมาสมพรได้ลดราคาเครื่องสำอางลง 20% ภายหลังสมพรเปลี่ยนใจต้องการขยายเครื่องสำอางราคา 2,400 บาทเหมือนเดิม อยากทราบว่าสมพรต้องเพิ่มราคาอีกกี่เปอร์เซนต์","(1) 10
(2) 15
(3) 20
(4) 25
(5) 30
",(4) 25,True,True,True,Quant
2024,5,สี่เหลี่ยมผืนผ้ารูปหนึ่งมีความยาว 10 นิ้ว กว้าง 6 นิ้ว ถ้าเพิ่มความยาวอีก 50% จะต้องลดความกว้างลงกี่เปอร์เซนต์เพื่อให้สี่เหลี่ยมรูปนี้มีพื้นที่เท่าเดิม?,"(1) 15
(2) 25
(3) 33
(4) 40
(5) 50
",(3) 33,True,True,True,Quant
2024,6,กำหนดให้ผู้ใหญ่ 1 คนทำงานอย่างหนึ่งเสร็จใน 5 ชั่วโมง และเด็ก 1 คนทำงานเดียวกันนี้เสร็จใน 10 ชั่วโมง จงหาว่าผู้ใหญ่ 1 คน และเด็ก 1 คน ช่วยกันทำงานนี้จะเสร็จในกี่ชั่วโมง,"(1) 1
(2) 4.17
(3) 3.67
(4) 4.5
(5) 3.33
",(5) 3.33,True,True,True,Quant
2024,7,ชาย 7 คน หญิง 6 คน ทำงานแห่งหนึ่งเสร็จใน 7 วัน แต่ชาย 5 คน หญิง 4 คน ทำงานแห่งนี้เสร็จใน 10 วัน ถ้าให้ชาย 6 คน และหญิง 2 คน จะทำงานแห่งเดียวกันเสร็จภายในกี่วัน,"(1) 14
(2) 13
(3) 12
(4) 11
(5) 10
",(5) 10,True,True,True,Quant
2024,8,เรือลำหนึ่งแล้วนำตามน้ำ 5 ชั่วโมง จะได้ระยะทางเท่ากับแล้วน้ำ 11 ชั่วโมง แต่ถ้าแล้วนำตามน้ำ 33 กิโลเมตร แล้วแล้วน้ำอีก 15 กิโลเมตรจะใช้เวลารวม 6 ชั่วโมง อัตราเร็วของกระแสน้ำเป็นกี่กิโลเมตรต่อชั่วโมง,"(1) 3
(2) 5
(3) 7
(4) 8
(5) 11
",(1) 3,True,True,True,Quant
2024,9,โรงเรียนแห่งหนึ่งมีนักเรียน 80 คน และมีชมรมกีฬา 3 ชมรมคือ ฟุตบอล กรีฑา และว่ายน้ำ นักเรียนทุกคนต้องเป็นสมาชิกอย่างน้อย 1 ชมรม ถ้ามีนักเรียน 30 คน ที่ไม่เป็นสมาชิกชมรมว่ายน้ำ มีนักเรียน 20 คน ที่เป็นสมาชิกชมรมว่ายน้ำแต่ไม่เป็นสมาชิกชมรมฟุตบอล และมีนักเรียน 18 คน ที่เป็นสมาชิกทั้งชมรมฟุตบอลและชมรมว่ายน้ำ แต่ไม่เป็นสมาชิกชมรมกรีฑา แล้วจำนวนนักเรียนที่เป็นสมาชิกทั้ง 3 ชมรมเท่ากับข้อใดต่อไปนี้?,"(1) 8
(2) 12
(3) 14
(4) 15
(5) 17
",(2) 12,True,True,True,Quant
2024,10,จากการสอบทำมผู้ดื่มกาแฟ 20 คน พบว่า จำนวนผู้ที่ใส่น้ำส้มในกาแฟน้อยกว่าสองเท่าของจำนวนผู้ที่ใส่น้ำตาลในกาแฟอยู่ 7 คน จำนวนผู้ที่ใส่ทั้งน้ำส้มและน้ำตาลในกาแฟเท่ากับจำนวนผู้ที่ไม่ใส่น้ำส้มและไม่ใส่น้ำตาลในกาแฟ จำนวนผู้ที่ใส่น้ำส้มในกาแฟมีอยู่กี่คน?,"(1) 15
(2) 13
(3) 11
(4) 9
(5) 8
",(3) 11,True,True,True,Quant
