year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2024,1,คำในข้อใดต่อไปนี้สะกดถูกต้องทุกคำ,"(1) ผู้เรียน กฎ บันได เที่ยวอนุญาต
(2) ไล่เลี่ยง ซึมเซ่บ แกงบวช สถิต นกอินทรีย์
(3) อัตราคัด โล่ห์ ขบถ นกพิราบ เส้นทแยง
(4) สำปรางแช่ง โขมย อะไหล่ อุโมงก์ โอกาส
(5) ไข่มุก ผักคะน้า มุกตลก กะเทยะ รสแซ่บ
",(5) ไข่มุก ผักคะน้า มุกตลก กะเทยะ รสแซ่บ,True,True,True,thai
2024,2,ข้อใดใช้คำไม่ถูกต้องตามความหมาย,"(1) ศูนย์ศาสตราจารย์คดีอำรับเสร็จสิ้น
(2) เยาวชนผู้กระทำผิดถูกกักกันบริเวณ
(3) ประธานนักเรียนอธิบายกระบวนการเลือกตั้ง
(4) บ้านหลังนี้ดูเก่า ทรุดโทรม และคร่าครึมใหม่
(5) งานปีใหม่ปีนี้มีผู้คนจำนวนมากเดินขึ้นไขว่
",(4) บ้านหลังนี้ดูเก่า ทรุดโทรม และคร่าครึมใหม่,True,True,True,thai
2024,3,ข้อใดเป็นประโยคกำกวม,"(1) อำหรับรายการด่วนมักเป็นอำหรับที่ข้อความคุณค่าทำงานโภชนาการ
(2) พนักงานส่วนใหญ่ของบริษัทแห่งนี้นิยมนุ่งกระโปรงยาว
(3) งานแต่งงานจัดขึ้นเมื่อวันจันทร์มีแขกมาร่วมงานเป็นจำนวนมาก
(4) คณะกรรมการตัดสินการประกวดเรียงความกำลังตรวจข้อสอบอย่างเร่งรีบ
(5) ธนาคารรายย่อยแห่งปรับลดอัตราดอกเบี้ยลงเพื่อช่วยเหลือประชาชนในช่วงวิกฤต
",(4) คณะกรรมการตัดสินการประกวดเรียงความกำลังตรวจข้อสอบอย่างเร่งรีบ,True,True,True,thai
2024,4,ข้อใดไม่ใช่ประโยค,"(1) ต้นไม้ต้นนั้นเติบโตสูงตระหง่าน
(2) ความเจ็บปวดที่เกินจะบรรยายยาก
(3) ปัญหาโลกร้อนเป็นเรื่องสำคัญ
(4) สภาพอากาศทำให้ทัศนวิสัยไม่ดี
(5) ฉันบอกเธอแล้วว่าเรื่องนี้สนุก
",(3) ปัญหาโลกร้อนเป็นเรื่องสำคัญ,True,True,True,thai
2024,5,ข้อใดมีระดับภาษาต่างจากข้ออื่น,"(1) สถาบันประกันสุขภาพยกเลิกการใส่แมสก์ในที่สาธารณะ
(2) เขาจำเป็นต้องหยุดความสัมพันธ์กับคู่รักไปสักพัก
(3) ละครเรื่องนี้มีเรื่องราวที่จำเจไม่ค่อยสร้างสรรค์
(4) แหล่งข้อมูลจากคนวงในบอกต่อๆ กันมานานแล้ว
(5) รายการงานฉบับนี้จัดขึ้นเพื่อเป็นส่วนหนึ่งของรายการวิชาภาษาไทย
",(5) รายการงานฉบับนี้จัดขึ้นเพื่อเป็นส่วนหนึ่งของรายการวิชาภาษาไทย,True,True,True,thai
2024,6,เด็กชำยนครินทร์บอกครอบครัวว่า ช่วงปิดเทอมจะเรียนว่ายน้ำและเรียนดนตรี เพื่อเพิ่มพูนประสบกิจกรรมแต่สุดท้ายก็เล่นเกมตลอดปิดเทอมไม่ทำตามที่พูดไว้ พฤติกรรมของเด็กชำยนครินทร์สอดคล้องกับข้อใด,"(1) พูดไปสองพร้อมทำลึงทอง
(2) ว่าแต่เขา อิเหนาเป็นเอง
(3) อ้าวปากก็เห็นลิ้นไก่
(4) ปากประพรศัยน้ำใจเชือดคอ
(5) ละเลิงขนมเบื้องด้วยปาก
",(5) ละเลิงขนมเบื้องด้วยปาก,True,True,True,thai
2024,7,ข้อใดไม่มีการใช้คำที่มีความหมายอุปมา,"(1) ดีใจด้วยนะที่เธอได้รับแต่งตั้งเป็นดาวมหาลัย
(2) พอผ่านงานนี้ไปได้งานต่อไปก็หมายความสำหรับคุณแล้วล่ะ
(3) เหล่าบุคคลล้วนมีความคิดแตกต่างกันไปตามพันธุ์
(4) เขารู้สึกน้อยใจที่ใครๆ มองเขาเป็นคนขี้อวด
(5) โครงการนี้ค่อนข้างหนักต้องอาศัยความร่วมมือจากทุกคน
",(3) เหล่าบุคคลล้วนมีความคิดแตกต่างกันไปตามพันธุ์,True,True,True,thai
2024,8,ข้อใดเขียนไม่ถูกต้องตามหลักการทับศัพท์ภาษาอังกฤษทุกคำ,"(1) ลิฟท์ อัลบั้ม อพาร์ทเมนต์
(2) เฟสบุ๊ค อินเทอร์เน็ต ดิจิตอล
(3) บล็อก ไลค์กราฟิก
(4) คลิกการ์ด ช็อก
(5) พรินท์อนิเมชัน คลาสสิก
",(2) เฟสบุ๊ค อินเทอร์เน็ต ดิจิตอล,True,True,True,thai
2024,9,"ความใดต่อไปนี้เป็นส่วนหนึ่งของเรื่อง ""ทรัพยากรธรรมชาติ""","(1) ป่าไม้ในภูมิภาคต่าง ๆ ของโลกพอจะแบ่งแยกออกได้ตามความแตกต่างขององค์ประกอบต่าง ๆ ดังเช่นต้นไม้
(2) ตั้งแต่ยุคก่อนประวัติศาสตร์เป็นต้นมา ป่าไม้เป็นทรัพยากรธรรมชาติที่มีประโยชน์ให้แก่มนุษย์อย่างมหาศาล
(3) เมื่อป่าไม้ปลูกเพิ่มมากขึ้น อัตราการเห็นแสงนี้จะเพิ่มมากขึ้น จึงควรเตรียมการป้องกัน กำจัดและปรับปรุงให้จริงจังยิ่งขึ้น
(4) นอกเหนือจากกระบวนการที่ได้ดำเนินการอยู่แล้ว จำเป็นอย่างยิ่งที่รัฐบาลจะต้องปรับปรุงนโยบายเกี่ยวกับทรัพยากรธรรมชาติ
(5) ป่าไม้ยืนต้นอยู่ก็ให้ประโยชน์แก่มนุษย์ทั้งโดยตรงและโดยอ้อมอานาประกาศ
",(2) ตั้งแต่ยุคก่อนประวัติศาสตร์เป็นต้นมา ป่าไม้เป็นทรัพยากรธรรมชาติที่มีประโยชน์ให้แก่มนุษย์อย่างมหาศาล,True,True,True,thai
2024,10,ข้อใดเป็นการอุปมัยจากเหตุไปผล,"(1) เอกสิทธิ์สอบได้ที่ 1 ของระดับชั้น เขียนบันทึกหนังสือทุกวัน
(2) ถ้าฝนตกหนักแล้วตั้งแต่ในร่ม คนจะมีกลิ่นอับ
(3) การที่ฝนตกหนักและน้ำท่วมบ่อยขึ้นได้รับอิทธิพลจากภาวะอากาศ
(4) ราคาเนื้อหมูในตลาดสูงขึ้นเกิดจากโรคระบาดที่ทำให้จำนวนหมูน้อยลง
(5) ปัจจัยหนึ่งของภาวะโลกร้อนมาจากการใช้ทรัพยากรธรรมชาติมากเกินไป
",(2) ถ้าฝนตกหนักแล้วตั้งแต่ในร่ม คนจะมีกลิ่นอับ,True,True,True,thai
